id,collectible,slug,classId,multiClassIds,cardTypeId,cardSetId,rarityId,artistName,manaCost,name,text,image,imageGold,flavorText,cropImage,duels,minionTypeId,health,attack,keywordIds,childIds,durability,armor
58607,1,58607-blur,14,[],5,1463,1,Zoltan Boros,0,Blur,Your hero can't take damage this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/035aab8886b98a7572c1da379210c53b12fae1b02254c86c539adc2fe2cfd661.png,,"""What are you trying to tell me? That I can dodge axes?"" ""I’m trying to tell you that when you’re a Demon Hunter, you won’t have to.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c49a59d861fd6fb9a1c8d8f97f7936303033269e75a46bd5487ae5eb5140834a.png,"{'relevant': True, 'constructed': True}",,,,,,,
56806,1,56806-shadowhoof-slayer,14,[],4,2,2,A.J. Nazzaro,1,Shadowhoof Slayer,<b>Battlecry:</b> Give your hero +1&nbsp;Attack this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf2dadd04120c86ddb0cc486dba857e51c58beb6cf8dc3f01b2cefa65d750329.png,,Was a humble Elven Archer before Sargeras got to him.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e552e5d3943fdaf87be9d5d12f73ae374f0f0b31b3000c8d37d22031e8c87247.png,"{'relevant': True, 'constructed': True}",15.0,1.0,2.0,[8],,,
58170,1,58170-crimson-sigil-runner,14,[],4,1414,1,Arthur Bozonnet,1,Crimson Sigil Runner,<b>Outcast:</b> Draw a card.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/042c86b0361ae5a348e97d87ae6ba12d07fa558051df61870c1b4d875f24beb2.png,,"He's not the fastest of the bunch, but he'll take a stab at it anyway.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/982a0faced5f333bb1b35d673aff4c6b2595a1dd553820e37db057379aceed4e.png,,,1.0,1.0,[86],,,
59394,1,59394-demon-companion,14,"[14, 3]",5,1443,3,Zoltan Boros,1,Demon Companion,Summon a random Demon Companion.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/56a28eff3b6df032a2a352990ea8f5ed09769aa2cff110e1b46f075a971d8242.png,,Owning a pet can be real hell at times.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d8c97c0dd4613c24b1ea621ef80cf19f126c173e27160464d52cc3ca0c75a00.png,"{'relevant': True, 'constructed': True}",,,,,"[59391, 59392, 59393]",,
59606,1,59606-double-jump,14,[],5,1443,1,A.J. Nazzaro,1,Double Jump,Draw an <b>Outcast</b> card from your deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e14df9d01b2410548835ba1e2eb8d8592c230f581be911f89db0c492d2ced252.png,,The key to every speed run.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/209beae7a003bbf59683600f08d847f6bd88a8181bc58ae3fb964f03d7fbcee9.png,"{'relevant': True, 'constructed': True}",,,,[86],,,
59233,1,59233-trueaim-crescent,14,"[14, 3]",7,1443,4,Kagi,1,Trueaim Crescent,"After your Hero attacks a minion, your minions attack it too.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c06d451038f737cd768743e71d762e903ddcccb251edb3710122469bc63e017.png,,You could have just pointed.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ace343d40c7b678e2856bdc6ea7c29aae505f18853ca8a1aed7ff97eee3225db.png,"{'relevant': True, 'constructed': True}",,,1.0,,,4.0,
58487,1,58487-battlefiend,14,[],4,1463,1,Andrew Hou,1,Battlefiend,"After your hero attacks, gain +1 Attack.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1ebce6695206bd170f9043317d22f1bff0869f7c8b175b5a5f938e89d33d2293.png,,"Say what you like about my hatchet-headed hooligan, he’s my battle-friend.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/465fca2734fdbc0e5039098359bf8e1cdcf35935754bc4949c4d4b9ff773db6f.png,"{'relevant': True, 'constructed': True}",15.0,2.0,1.0,,,,
58452,1,58452-consume-magic,14,[],5,1463,1,Ludo Lullabi,1,Consume Magic,<b>Silence</b> an enemy&nbsp;minion. <b>Outcast:</b> Draw a card.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/33084f53ad81f69cd24fde322aa0119938499a533afa370b21a24d2ce754dd7f.png,,Please be mindful when consuming raw or undercooked magic.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a75cc1d65fca59eadd684f9b526df2502105990712d7afa004b92bc25d1cf60f.png,"{'relevant': True, 'constructed': True}",,,,"[15, 86]",,,
58610,1,58610-mana-burn,14,[],5,1463,1,Hideaki Takamura,1,Mana Burn,Your opponent has 2 fewer Mana Crystals next turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f2c7da74c40ac3829bf128813954001f83fb344ca5a71ef98255b104ce50814.png,,One way to ensure that they are not prepared.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/01bd597571edfa3815343637e7c9cfd35613a6c4d498a31aa8f1ab220288f30b.png,"{'relevant': True, 'constructed': True}",,,,,,,
56928,1,56928-twin-slice,14,[],5,1463,1,Maria Trepalina,1,Twin Slice,Give your hero +2 Attack this turn. Add 'Second Slice' to your hand.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f66ed68aad22a49e4bff8cfa578a2f4f02b094b2647ddfa08c21b9e4407c573.png,,"The slice so nice, it'll cut you twice.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d883be7f211a09d91245130d5ca9a211c122b866f7642ea73542a96501f97331.png,"{'relevant': True, 'constructed': True}",,,,,[56935],,
56739,1,56739-urzul-horror,14,[],4,1463,1,James Ryman,1,Ur'zul Horror,<b>Deathrattle:</b> Add a 2/1 Lost Soul to your hand.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e78c95e63fdece4e31bc589122cf405fc1eed5d4288737d039fd450f3155a8f.png,,You face face face face face Jaraxxus!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/614417f5ed6420bed781d90e98d6c607b6868c12a6d06fc5de754db2912623a9.png,"{'relevant': True, 'constructed': True}",15.0,1.0,2.0,[12],[59518],,
